id,label
0,0
1,1
2,1
3,0
4,0
5,1
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,1
17,0
18,0
19,1
20,0
21,0
22,1
23,1
24,0
25,0
26,0
27,1
28,1
29,1
30,0
31,0
32,0
33,0
34,0
35,1
36,1
37,0
38,1
39,1
40,0
41,0
42,0
43,1
44,1
45,1
46,1
47,0
48,0
49,0
50,0
51,1
52,1
53,0
54,1
55,1
56,1
57,0
58,0
59,0
60,0
61,1
62,1
63,0
64,0
65,1
66,0
67,1
68,0
69,0
70,1
71,1
72,0
73,0
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,0
85,1
86,1
87,0
88,1
89,0
90,1
91,0
92,0
93,0
94,1
95,0
96,1
97,1
98,1
99,1
100,0
101,0
102,1
103,0
104,1
105,1
106,0
107,1
108,0
109,0
110,0
111,0
112,0
113,0
114,1
115,1
116,0
117,1
118,1
119,1
120,1
121,0
122,0
123,0
124,1
125,0
126,0
127,1
128,0
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,0
138,1
139,0
140,1
141,0
142,0
143,1
144,1
145,1
146,1
147,0
148,1
149,0
150,0
151,1
152,0
153,0
154,0
155,1
156,0
157,0
158,0
159,1
160,0
161,0
162,1
163,0
164,0
165,0
166,1
167,1
168,1
169,1
170,0
171,0
172,1
173,0
174,1
175,0
176,1
177,0
178,0
179,0
180,0
181,1
182,0
183,1
184,1
185,1
186,0
187,1
188,0
189,1
190,0
191,0
192,0
193,1
194,0
195,1
196,1
197,1
198,0
199,1
200,0
201,0
202,1
203,1
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,1
212,0
213,1
214,0
215,0
216,0
217,0
218,1
219,1
220,1
221,1
222,1
223,1
224,0
225,0
226,1
227,0
228,0
229,1
230,1
231,0
232,1
233,1
234,0
235,1
236,1
237,1
238,0
239,0
240,1
241,0
242,1
243,1
244,0
245,1
246,1
247,1
248,1
249,1
250,0
251,0
252,0
253,0
254,0
255,1
256,0
257,0
258,0
259,0
260,0
261,0
262,1
263,0
264,0
265,0
266,1
267,0
268,0
269,1
270,0
271,0
272,1
273,1
274,0
275,0
276,0
277,1
278,0
279,0
280,0
281,0
282,0
283,0
284,1
285,0
286,1
287,1
288,0
289,0
290,1
291,1
292,1
293,0
294,0
295,0
296,0
297,1
298,1
299,1
300,0
301,1
302,1
303,0
304,1
305,0
306,1
307,1
308,0
309,0
310,1
311,0
312,1
313,1
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,1
322,0
323,0
324,0
325,0
326,0
327,0
328,1
329,0
330,1
331,0
332,0
333,0
334,1
335,1
336,0
337,0
338,1
339,0
340,0
341,0
342,0
343,0
344,1
345,1
346,1
347,0
348,1
349,0
350,1
351,1
352,1
353,0
354,1
355,0
356,1
357,0
358,1
359,0
360,0
361,1
362,1
363,1
364,1
365,0
366,1
367,1
368,0
369,1
370,0
371,0
372,0
373,0
374,0
375,1
376,1
377,0
378,0
379,0
380,0
381,1
382,0
383,1
384,0
385,0
386,1
387,0
388,1
389,0
390,0
391,1
392,0
393,0
394,0
